timestamp,agg_val
1640667492,25342
1640667507,25342
1640667522,13922.555555555575
1640667537,1557
1640667552,1557
1640667567,1557
1640667582,1557
1640667597,1557
1640667612,510.1666666666658
1640667627,606.7304347826073
1640667642,606.6043478260885
1640667657,606.1000000000021
1640667672,606.1000000000021
1640667687,47
1640667702,47
1640667717,44
1640667732,44
1640667747,33.879999999999995
1640667762,45
1640667777,52
1640667792,47
1640667807,44
1640667822,44
1640667837,50
1640667852,50
1640667867,35
1640667882,39
1640667897,43
1640667912,43
1640667927,0
1640667942,47
1640667957,47
1640667972,47
1640667987,46
1640668002,49
1640668017,49
1640668032,49
1640668047,49
1640668062,48
1640668077,59
1640668092,59
1640668107,59
1640668122,59
1640668137,54
1640668152,54
1640668167,54
1640668182,59
1640668197,68
1640668212,68
1640668227,68
1640668242,68
1640668257,43
1640668272,43
1640668287,43
1640668302,43
1640668317,55
1640668332,50
1640668347,47
1640668362,47
1640668377,48
1640668392,47
1640668407,37
1640668422,42
1640668437,45
1640668452,45
1640668467,0
1640668482,41
1640668497,42
1640668512,42
1640668527,0
1640668542,40
1640668557,46
1640668572,46
1640668587,0
1640668602,39
1640668617,53
1640668632,53
1640668647,53
1640668662,48
1640668677,53
1640668692,53
1640668707,53
1640668722,39
1640668737,44
1640668752,44
1640668767,44
1640668782,39
1640668797,46
1640668812,46
1640668827,46
1640668842,45
1640668857,50
1640668872,50
1640668887,50
1640668902,46
1640668917,48
1640668932,44
1640668947,44
1640668962,50.66
1640668977,50.745
1640668992,50.694
1640669007,50.694
1640669022,50.694
1640669037,46
1640669052,46
1640669067,46
1640669082,46
1640669097,46
1640669112,44
1640669127,32
1640669142,41
1640669157,55
1640669172,39
1640669187,39
1640669202,41
1640669217,44
1640669232,40
1640669247,44
1640669262,50.43333333333334
1640669277,59
1640669292,50.26333333333333
1640669307,41
1640669322,41
1640669337,56
1640669352,56
1640669367,56
1640669382,67
1640669397,67
1640669412,67
1640669427,67
1640669442,53
1640669457,58
1640669472,58
1640669487,58
1640669502,53
1640669517,71
