timestamp,agg_val
1640667492,19989
1640667507,19989
1640667522,20110.476190476176
1640667537,11827
1640667552,11827
1640667567,11827
1640667582,11827
1640667597,11827
1640667612,14464.516129032305
1640667627,14722.424242424247
1640667642,14715.15151515147
1640667657,14698.181818181845
1640667672,14698.181818181845
1640667687,9095
1640667702,9095
1640667717,13435
1640667732,13435
1640667747,12765
1640667762,12765
1640667777,12765
1640667792,6482.666666666666
1640667807,11480
1640667822,11480
1640667837,11480
1640667852,11480
1640667867,5428
1640667882,5428
1640667897,9636
1640667912,9437.999999999998
1640667927,29
1640667942,3696
1640667957,5398
1640667972,5398
1640667987,9054
1640668002,10492
1640668017,17855
1640668032,17855
1640668047,17855
1640668062,17855
1640668077,14349
1640668092,14349
1640668107,14349
1640668122,14349
1640668137,7068
1640668152,7068
1640668167,7068
1640668182,7068
1640668197,6822
1640668212,6822
1640668227,11778
1640668242,11778
1640668257,20079.999999999985
1640668272,9685.499999999998
1640668287,9685.499999999998
1640668302,9685.499999999998
1640668317,12452
1640668332,12452
1640668347,10105
1640668362,10105
1640668377,10105
1640668392,8912
1640668407,9273
1640668422,9273
1640668437,20295
1640668452,20240.000000000007
1640668467,32
1640668482,7884
1640668497,9582
1640668512,9582
1640668527,38
1640668542,11711
1640668557,11711
1640668572,10712
1640668587,34
1640668602,5584
1640668617,7324
1640668632,13119
1640668647,5137
1640668662,7116
1640668677,14858
1640668692,14858
1640668707,14858
1640668722,6523
1640668737,9627
1640668752,9470.999999999996
1640668767,9470.999999999996
1640668782,6908
1640668797,9649
1640668812,9649
1640668827,9649
1640668842,6207
1640668857,15139
1640668872,15139
1640668887,15139
1640668902,7850
1640668917,9920
1640668932,6619
1640668947,6619
1640668962,6619
1640668977,11864
1640668992,11864
1640669007,11864
1640669022,11864
1640669037,10418
1640669052,10418
1640669067,10418
1640669082,10418
1640669097,10418
1640669112,8914
1640669127,5350
1640669142,9992
1640669157,9992
1640669172,15583
1640669187,15583
1640669202,15583
1640669217,15583
1640669232,9107
1640669247,9107
1640669262,14735
1640669277,20079.999999999985
1640669292,14735
1640669307,7987
1640669322,7987
1640669337,12061
1640669352,6504.666666666666
1640669367,6504.666666666666
1640669382,5894
1640669397,8103
1640669412,8103
1640669427,9039
1640669442,9039
1640669457,16889
1640669472,16889
1640669487,16889
1640669502,8497
1640669517,12124
1640669532,12124
1640669547,12124
1640669562,6889
1640669577,7470
1640669592,15317
1640669607,15317
1640669622,4240
1640669637,5406
1640669652,5406
1640669667,5406
1640669682,5421
1640669697,7875
1640669712,9665
1640669727,9665
1640669742,9665
1640669757,7304
1640669772,28311
1640669787,28311
1640669802,28311
1640669817,5747
1640669832,17522
1640669847,17522
1640669862,17522
1640669877,17522
1640669892,8823
1640669907,4349
1640669922,4382.5
1640669937,15108
1640669952,5362
1640669967,7083
1640669982,7083
1640669997,9470.999999999996
1640670012,8432
1640670027,8432
1640670042,8432
1640670057,8432
1640670072,7513
1640670087,7513
1640670102,7630
1640670117,7260
1640670132,7787
1640670147,7787
1640670162,7983
1640670177,6300
1640670192,7659
1640670207,11917
1640670222,11917
1640670237,11917
1640670252,11917
1640670267,10216
1640670282,8618
1640670297,16257
1640670312,16257
1640670327,5571
1640670342,6708
1640670357,10361
1640670372,10361
1640670387,5868
1640670402,5797
1640670417,10607
1640670432,10607
1640670447,10607
1640670462,7971
1640670477,8922
1640670492,8922
1640670507,8922
1640670522,8862
1640670537,10094
1640670552,10094
1640670567,10094
1640670582,10094
1640670597,10207
1640670612,8654
1640670627,8654
1640670642,8654
1640670657,7936
1640670672,14931
1640670687,14931
1640670702,14931
1640670717,14931
1640670732,20796
1640670747,20796
1640670762,20796
1640670777,20720
1640670792,20796
1640670807,8531
1640670822,8531
1640670837,5138
1640670852,4464
1640670867,5440
1640670882,5440
1640670897,5440
1640670912,5440
1640670927,8865
1640670942,8865
1640670957,8865
1640670972,8865
1640670987,7746
1640671002,7746
1640671017,7746
1640671032,7746
1640671047,7555
1640671062,15201
1640671077,38354.99999999996
1640671092,38354.99999999996
1640671107,37420.00000000009
1640671122,36994.99999999999
1640671137,9250
1640671152,9250
1640671167,9250
1640671182,4103
1640671197,6625
1640671212,5148
1640671227,5148
1640671242,5148
1640671257,6138
1640671272,5257
1640671287,5257
1640671302,5257
1640671317,6849
1640671332,5119
1640671347,5119
1640671362,7089
1640671377,10057
1640671392,4543
1640671407,4543
1640671422,4543
1640671437,8002
1640671452,8002
1640671467,4000
1640671482,4000
1640671497,9393
1640671512,9393
1640671527,4120
1640671542,4120
1640671557,5817
1640671572,6851
1640671587,7675
1640671602,7675
1640671617,7675
1640671632,7675
1640671647,5256
1640671662,5352
1640671677,13163
1640671692,13163
1640671707,13163
1640671722,5196
1640671737,6482
1640671752,6482
1640671767,6482
1640671782,4231
1640671797,4647
1640671812,8149
1640671827,8149
1640671842,5686
1640671857,6472
1640671872,6472
1640671887,6472
1640671902,6472
1640671917,6572.5
1640671932,6564.8
1640671947,6564.8
1640671962,6564.8
1640671977,6545
1640671992,5067
1640672007,5067
1640672022,5067
1640672037,8413
1640672052,7258
1640672067,7258
1640672082,7258
1640672097,9432
1640672112,7242
1640672127,4408
1640672142,4861
1640672157,8218
1640672172,8218
1640672187,5434
1640672202,7875
1640672217,10926
1640672232,10926
1640672247,5476
1640672262,6380.000000000001
1640672277,12954
1640672292,12954
1640672307,5392
1640672322,4471
1640672337,6228
1640672352,6228
1640672367,5539
1640672382,5278
1640672397,6188
1640672412,6188
1640672427,7088
1640672442,7088
1640672457,7962
1640672472,13672
1640672487,13672
1640672502,5163
1640672517,10477
1640672532,6754
1640672547,9416
1640672562,10384
1640672577,12792
1640672592,12792
1640672607,5459
1640672622,5459
1640672637,13459
1640672652,13459
1640672667,13459
1640672682,13459
1640672697,13459
1640672712,4919
