timestamp,agg_val,dataNotReady,pdRPC,regionMiss,regionScheduling,serverBusy,staleCommand,tikvDiskFull,tikvLockFast,tikvRPC,txnLock
1640667507,0,0,0,0.059280000000000006,0,0,0,0,0,0,0
1640667522,0,0,0,0.06946000000000001,0,0,0,0,0,0,0
1640667537,0,0,0,0.06666666666666667,0,0,0,0,0,0,0
1640667552,0,0,0,0.02222222222222222,0,0,0,0,0,0,0
1640667567,0,0,0,0,0,0,0,0,0,0,0
1640667582,0,0,0,0,0,0,0,0,0,0,0
1640667597,0,0,0,0,0,0,0,0,0,0,0
1640667612,0,0,0,0,0,0,0,0,0,0,0
1640667627,0,0,0,0,0,0,0,0,0,0,0
1640667642,0,0,0,0,0,0,0,0,0,0,0
1640667657,0,0,0,0,0,0,0,0,0,0,0
1640667672,0,0,0,0,0,0,0,0,0,0,0
1640667687,0,0,0,0,0,0,0,0,0,0,0
1640667702,0,0,0,0,0,0,0,0,0,0,0
1640667717,0,0,0,0,0,0,0,0,0,0,0
1640667732,0,0,0,0,0,0,0,0,0,0,0
1640667747,0,0,0,0,0,0,0,0,0,0,0
1640667762,0,0,0,0,0,0,0,0,0,0,0
1640667777,0,0,0,0,0,0,0,0,0,0,0
1640667792,0,0,0,0,0,0,0,0,0,0,0
1640667807,0,0,0,0,0,0,0,0,0,0,0
1640667822,0,0,0,0,0,0,0,0,0,0,0
1640667837,0,0,0,0,0,0,0,0,0,0,0
1640667852,0,0,0,0,0,0,0,0,0,0,0
1640667867,0,0,0,0,0,0,0,0,0,0,0
1640667882,0,0,0,0,0,0,0,0,0,0,0
1640667897,0,0,0,0,0,0,0,0,0,0,0
1640667912,0,0,0,0,0,0,0,0,0,0,0
1640667927,0,0,0,0,0,0,0,0,0,0,0
1640667942,0,0,0,0,0,0,0,0,0,0,0
1640667957,0,0,0,0,0,0,0,0,0,0,0
1640667972,0,0,0,0,0,0,0,0,0,0,0
1640667987,0,0,0,0,0,0,0,0,0,0,0
1640668002,0,0,0,0,0,0,0,0,0,0,0
1640668017,0,0,0,0,0,0,0,0,0,0,0
1640668032,0,0,0,0,0,0,0,0,0,0,0
1640668047,0,0,0,0,0,0,0,0,0,0,0
1640668062,0,0,0,0.08888888888888888,0,0,0,0,0,0,0
1640668077,0,0,0,0.08889481520990289,0,0,0,0,0,0,0
1640668092,0,0,0,0.08888888888888888,0,0,0,0,0,0,0
1640668107,0,0,0,0,0,0,0,0,0,0,0
1640668122,0,0,0,0,0,0,0,0,0,0,0
1640668137,0,0,0,0,0,0,0,0,0,0,0
1640668152,0,0,0,0,0,0,0,0,0,0,0
1640668167,0,0,0,0,0,0,0,0,0,0,0
1640668182,0,0,0,0,0,0,0,0,0,0,0
1640668197,0,0,0,0,0,0,0,0,0,0,0
1640668212,0,0,0,0,0,0,0,0,0,0,0
1640668227,0,0,0,0,0,0,0,0,0,0,0
1640668242,0,0,0,0,0,0,0,0,0,0,0
1640668257,0,0,0,0,0,0,0,0,0,0,0
1640668272,0,0,0,0,0,0,0,0,0,0,0
1640668287,0,0,0,0,0,0,0,0,0,0,0
1640668302,0,0,0,0,0,0,0,0,0,0,0
1640668317,0,0,0,0,0,0,0,0,0,0,0
1640668332,0,0,0,0,0,0,0,0,0,0,0
1640668347,0,0,0,0,0,0,0,0,0,0,0
1640668362,0,0,0,0,0,0,0,0,0,0,0
1640668377,0,0,0,0,0,0,0,0,0,0,0
1640668392,0,0,0,0,0,0,0,0,0,0,0
1640668407,0,0,0,0,0,0,0,0,0,0,0
1640668422,0,0,0,0,0,0,0,0,0,0,0
1640668437,0,0,0,0,0,0,0,0,0,0,0
1640668452,0,0,0,0,0,0,0,0,0,0,0
1640668467,0,0,0,0,0,0,0,0,0,0,0
1640668482,0,0,0,0,0,0,0,0,0,0,0
1640668497,0,0,0,0,0,0,0,0,0,0,0
1640668512,0,0,0,0,0,0,0,0,0,0,0
1640668527,0,0,0,0,0,0,0,0,0,0,0
1640668542,0,0,0,0,0,0,0,0,0,0,0
1640668557,0,0,0,0,0,0,0,0,0,0,0
1640668572,0,0,0,0,0,0,0,0,0,0,0
1640668587,0,0,0,0,0,0,0,0,0,0,0
1640668602,0,0,0,0,0,0,0,0,0,0,0
1640668617,0,0,0,0,0,0,0,0,0,0,0
1640668632,0,0,0,0,0,0,0,0,0,0,0
1640668647,0,0,0,0,0,0,0,0,0,0,0
1640668662,0,0,0,0,0,0,0,0,0,0,0
1640668677,0,0,0,0,0,0,0,0,0,0,0
1640668692,0,0,0,0,0,0,0,0,0,0,0
1640668707,0,0,0,0,0,0,0,0,0,0,0
1640668722,0,0,0,0,0,0,0,0,0,0,0
1640668737,0,0,0,0,0,0,0,0,0,0,0
1640668752,0,0,0,0,0,0,0,0,0,0,0
1640668767,0,0,0,0,0,0,0,0,0,0,0
1640668782,0,0,0,0,0,0,0,0,0,0,0
1640668797,0,0,0,0,0,0,0,0,0,0,0
1640668812,0,0,0,0,0,0,0,0,0,0,0
1640668827,0,0,0,0,0,0,0,0,0,0,0
1640668842,0,0,0,0,0,0,0,0,0,0,0
1640668857,0,0,0,0,0,0,0,0,0,0,0
1640668872,0,0,0,0,0,0,0,0,0,0,0
1640668887,0,0,0,0,0,0,0,0,0,0,0
1640668902,0,0,0,0,0,0,0,0,0,0,0
1640668917,0,0,0,0,0,0,0,0,0,0,0
1640668932,0,0,0,0,0,0,0,0,0,0,0
1640668947,0,0,0,0,0,0,0,0,0,0,0
1640668962,0,0,0,0,0,0,0,0,0,0,0
1640668977,0,0,0,0,0,0,0,0,0,0,0
1640668992,0,0,0,0,0,0,0,0,0,0,0
1640669007,0,0,0,0,0,0,0,0,0,0,0
1640669022,0,0,0,0,0,0,0,0,0,0,0
1640669037,0,0,0,0,0,0,0,0,0,0,0
1640669052,0,0,0,0,0,0,0,0,0,0,0
1640669067,0,0,0,0,0,0,0,0,0,0,0
1640669082,0,0,0,0,0,0,0,0,0,0,0
1640669097,0,0,0,0,0,0,0,0,0,0,0
1640669112,0,0,0,0,0,0,0,0,0,0,0
1640669127,0,0,0,0,0,0,0,0,0,0,0
