timestamp,sr0:172.17.16.11:9100,sr0:172.17.16.13:9100,sr0:172.17.16.14:9100,sr0:172.17.16.15:9100,vda:172.17.16.11:9100,vda:172.17.16.13:9100,vda:172.17.16.14:9100,vda:172.17.16.15:9100
1640667492,0,0,0,0,30.266666666666666,28.533121976874245,53.375889598159965,57.48846304842186
1640667507,0,0,0,0,106.38518518518518,152.73333333333332,173.47550816394534,148.6
1640667522,0,0,0,0,45.266666666666666,4.665422553985604,77.35911970656886,11.133333333333333
1640667537,0,0,0,0,20.533333333333335,8.602293945052013,10,0.6
1640667552,0,0,0,0,19.266666666666666,1.8666666666666667,1.6666666666666667,2.8666666666666667
1640667567,0,0,0,0,11.866666666666667,1.8,2.1333333333333333,3.6666666666666665
1640667582,0,0,0,0,9.466666666666667,3.6666666666666665,0.4666666666666667,4.266666666666667
1640667597,0,0,0,0,6.86575123316891,391.8666666666667,286,618.0666666666667
1640667612,0,0,0,0,11.801573543139085,348.41719426857713,660.2265156562291,105.30171839616358
1640667627,0,0,0,0,37.333333333333336,7.002334111370457,3.535690460306871,1.200880645806925
1640667642,0,0,0,0,12.533333333333333,0.7333333333333333,13.730587215890155,15.803160632126426
1640667657,0,0,0,0,10.4,2.3333333333333335,1.8003600720144028,1.8666666666666667
1640667672,0,0,0,0,12.666666666666666,1.2663289789389496,2.6,1.4
1640667687,0,0,0,0,6.533333333333333,1.667111229661243,0.8,1.2
1640667702,0,0,0,0,11.998400213304892,7.066666666666666,6.666666666666667,5
1640667717,0,0,0,0,6.200826776903588,3.1333333333333333,2.2,1.2
1640667732,0,0,0,0,10.8,1.6,1.3333333333333333,3.7333333333333334
1640667747,0,0,0,0,6.266666666666667,0.4666666666666667,1.4647137150466045,1.6
1640667762,0,0,0,0,3.2,5.133333333333334,0.4672897196261682,2.3333333333333335
1640667777,0,0,0,0,16.133333333333333,2.3333333333333335,5.666666666666667,0.6
1640667792,0,0,0,0,5.733333333333333,1.9996000799840032,1.7326402772224443,2.3333333333333335
1640667807,0,0,0,0,13.066666666666666,1.8003600720144028,1.4672535680939043,0.6666666666666666
1640667822,0,0,0,0,5.133333333333334,5.2,0.5331556147950682,5.933333333333334
1640667837,0,0,0,0,13.733333333333333,3.2666666666666666,4.201400466822275,0.6
1640667852,0,0,0,0,3.6666666666666665,5.666666666666667,1.3333333333333333,2.3333333333333335
1640667867,0,0,0,0,20.2,0.4666666666666667,0.5333333333333333,0.6666666666666666
1640667882,0,0,0,0,3.2666666666666666,6.333333333333333,1.6,4.933333333333334
1640667897,0,0,0,0,6.533333333333333,1.6666666666666667,3.7333333333333334,0.6
1640667912,0,0,0,0,11.666666666666666,5.7325689908012265,2.532826767979737,3.066666666666667
1640667927,0,0,0,0,6.733333333333333,3.800506734231231,14.936320597452823,0.6666666666666666
1640667942,0,0,0,0,13,0.5333333333333333,6.933333333333334,16.4
1640667957,0,0,0,0,4.4,2.7333333333333334,2.066666666666667,1.6
1640667972,0,0,0,0,15.266666666666667,1.2666666666666666,3.1306201292213416,1.2666666666666666
1640667987,0,0,0,0,4,2.6666666666666665,2.2686328151064257,5.2607045348604915
1640668002,0,0,0,0,14.066666666666666,0.5333333333333333,0.5332266879957341,1.8687846225722484
1640668017,0,0,0,0,4.533333333333333,7.333333333333333,6.734680269387211,0.4666666666666667
1640668032,0,0,0,0,13.4,1.2,1.3333333333333333,3.066666666666667
1640668047,0,0,0,0,4.2,2.466666666666667,1.8,0.7333333333333333
1640668062,0,0,0,0,11.6,2.466666666666667,0.5331200852992136,13.133333333333333
1640668077,0,0,0,0,8.865484602053058,4.8,7.202881152460985,1.6
1640668092,0,0,0,0,12.868382450993467,8.133333333333333,1.8,1.6
1640668107,0,0,0,0,6.2,0.4666666666666667,0.8664356171687551,3.3333333333333335
1640668122,0,0,0,0,3.4,0.5333333333333333,1.7337956788476927,2.3333333333333335
1640668137,0,0,0,0,15.733333333333333,3.533333333333333,6.066666666666666,1.6
1640668152,0,0,0,0,3.4,1.6666666666666667,3.2666666666666666,3.933333333333333
1640668167,0,0,0,0,17.933333333333334,5,6.398293788323114,2.2666666666666666
1640668182,0,0,0,0,3.933333333333333,0.6666666666666666,1.0002667377967458,2.8666666666666667
1640668197,0,0,0,0,12.066666666666666,2.8666666666666667,4.4,1.1333333333333333
1640668212,0,0,0,0,5.8,6.533333333333333,3.8,13
1640668227,0,0,0,0,13.6,4.2,2.533333333333333,0.5333333333333333
1640668242,0,0,0,0,5.066666666666666,1.6,12.330045321247667,3.066666666666667
1640668257,0,0,0,0,4.266666666666667,1.6,2.40064017071219,3.6
1640668272,0,0,0,0,9.933333333333334,2.4,4.733333333333333,1.2666666666666666
1640668287,0,0,0,0,6.133333333333334,0.9333333333333333,4.266666666666667,1.3333333333333333
1640668302,0,0,0,0,13,3.466666666666667,2.1333333333333333,3.8666666666666667
1640668317,0,0,0,0,6.666666666666667,3.066666666666667,6.2,0.4666666666666667
1640668332,0,0,0,0,10.266666666666667,1.4666666666666666,1.4,1.9333333333333333
1640668347,0,0,0,0,5.333333333333333,1.3333333333333333,4.8,0.6666666666666666
1640668362,0,0,0,0,12.466666666666667,0.6,0.4666666666666667,5.533333333333333
1640668377,0,0,0,0,7.666666666666667,4.4,3.933333333333333,0.4666666666666667
1640668392,0,0,0,0,11.933333333333334,2.933333333333333,3.2666666666666666,7.4
1640668407,0,0,0,0,3.3333333333333335,5.2,1.8666666666666667,0.5997600959616154
1640668422,0,0,0,0,12.8,2.3333333333333335,0.4666666666666667,2.667733760170735
1640668437,0,0,0,0,4.333333333333333,1.6,3.8,0.5333333333333333
1640668452,0,0,0,0,12.133333333333333,2.3333333333333335,2.4661734319802706,2.6666666666666665
1640668467,0,0,0,0,8.933333333333334,0.6,0.46676001867040073,0.6
1640668482,0,0,0,0,3.466666666666667,5.466666666666667,1.9333333333333333,3.6666666666666665
1640668497,0,0,0,0,13.666666666666666,1.5333333333333334,5.533333333333333,0.8666666666666667
1640668512,0,0,0,0,3.066666666666667,2.1333333333333333,4.6,1.6666666666666667
1640668527,0,0,0,0,15.866666666666667,0.6,0.6664445184938353,2
1640668542,0,0,0,0,3.2,5.666666666666667,13.071023674558187,14.266666666666667
1640668557,0,0,0,0,6.4,1.9333333333333333,1.8666666666666667,1.6666666666666667
1640668572,0,0,0,0,10.866666666666667,1.4,1.2666666666666666,1.3333333333333333
1640668587,0,0,0,0,6.266666666666667,4.266666666666667,6.0654535759514765,0.7333333333333333
1640668602,0,0,0,0,13.066666666666666,1,0.7334800293392012,5.866666666666666
1640668617,0,0,0,0,4.333333333333333,2.2,3.3333333333333335,0.6
1640668632,0,0,0,0,13.2,1.4,1.3333333333333333,1.9333333333333333
1640668647,0,0,0,0,3.8666666666666667,1.1333333333333333,0.8666666666666667,0.6
1640668662,0,0,0,0,11.533333333333333,3.8,1.2,8.4
1640668677,0,0,0,0,6.066666666666666,6.333333333333333,7.266666666666667,0.6
1640668692,0,0,0,0,3.466666666666667,1.7333333333333334,3.8,2.732968937475003
1640668707,0,0,0,0,15.466666666666667,0.4666666666666667,4.333333333333333,1.7335644752633685
1640668722,0,0,0,0,2.8666666666666667,1.7333333333333334,2.06625341598347,4.933333333333334
1640668737,0,0,0,0,14.866666666666667,4.466666666666667,2.1337600853504033,1.6666666666666667
1640668752,0,0,0,0,3.066666666666667,2.3333333333333335,1.4666666666666666,1.6666666666666667
1640668767,0,0,0,0,13.8,0.6666666666666666,4.266666666666667,1.6666666666666667
1640668782,0,0,0,0,7,4.533333333333333,4.866666666666666,3.8
1640668797,0,0,0,0,14.8,2.6666666666666665,1.8666666666666667,0.5333333333333333
1640668812,0,0,0,0,3.1333333333333333,1.6,2.8666666666666667,2.6666666666666665
1640668827,0,0,0,0,12.8,5.733333333333333,0.7331378299120235,0.6
1640668842,0,0,0,0,5.066666666666666,0.8664933679930681,12.870098692984795,14.933333333333334
1640668857,0,0,0,0,11.533333333333333,2.3338000933520036,4.2,0.5333333333333333
1640668872,0,0,0,0,5.266666666666667,1.6666666666666667,4.066666666666666,5.666666666666667
1640668887,0,0,0,0,4.4,1.5333333333333334,5.066666666666666,0.5333333333333333
1640668902,0,0,0,0,13.263129832044788,0.6,1.8,2.8666666666666667
1640668917,0,0,0,0,6.201653774339824,4.866017864284762,1.8666666666666667,0.6
1640668932,0,0,0,0,3.466666666666667,2.266968929190559,4.065853495967473,1.4666666666666666
1640668947,0,0,0,0,13.6,0.7333333333333333,0.8668400346736014,4.066666666666666
1640668962,0,0,0,0,3.533333333333333,1.5992536816152463,1.4,2.7333333333333334
1640668977,0,0,0,0,14.466666666666667,5.535178392797599,5.066666666666666,15.866666666666667
1640668992,0,0,0,0,3.3333333333333335,1.7335644752633685,3.1333333333333333,2.1333333333333333
1640669007,0,0,0,0,15.06465804559392,3.332666799973339,0.4666666666666667,6.533333333333333
1640669022,0,0,0,0,3.4004533937858383,0.5330135252182024,1.3995334888370543,1.7333333333333334
1640669037,0,0,0,0,11.533333333333333,2.201761409127302,4.468156052017339,0.6
1640669052,0,0,0,0,5.8,1.2666666666666666,2.4663378216237835,2.5996533795493932
1640669067,0,0,0,0,13.266666666666667,0.6666666666666666,0.40005334044539276,0.5334044539271903
1640669082,0,0,0,0,6.866666666666666,4.533333333333333,1.6,5.666666666666667
1640669097,0,0,0,0,12.066666666666666,1.6663333999866694,5.6,0.6
1640669112,0,0,0,0,3.066666666666667,2.467160098686404,3.2,3
1640669127,0,0,0,0,5.933333333333334,5,0.6666666666666666,0.4666666666666667
1640669142,0,0,0,0,12.8,0.8666666666666667,2.066666666666667,16.533333333333335
1640669157,0,0,0,0,6.4,3.1327067919749383,12.333333333333334,0.6
1640669172,0,0,0,0,10.598586855085989,2.2004400880176034,1.7333333333333334,2.6666666666666665
1640669187,0,0,0,0,5.267368982531004,3.533333333333333,2.2,0.6666666666666666
1640669202,0,0,0,0,12.2,0.5331911490269262,4.533333333333333,4
1640669217,0,0,0,0,6.8,2.33395572152574,2.066666666666667,0.6666666666666666
1640669232,0,0,0,0,3.2666666666666666,4.2,2.6,1.5333333333333334
1640669247,0,0,0,0,12.6,0.7333333333333333,0.5333333333333333,1.6666666666666667
1640669262,0,0,0,0,5.4,3.2666666666666666,1.4666666666666666,5.865884548726836
1640669277,0,0,0,0,14.733333333333333,3.1333333333333333,7.466666666666667,1.8002400320042673
1640669292,0,0,0,0,6.466666666666667,1.7333333333333334,3.533333333333333,2.2666666666666666
1640669307,0,0,0,0,4.266666666666667,1.0666666666666667,0.4,0.5332622317024397
1640669322,0,0,0,0,12.8,0.6,1.0666666666666667,4.867315642085612
1640669337,0,0,0,0,6.6,4.466666666666667,3.7333333333333334,0.4666666666666667
1640669352,0,0,0,0,11.533333333333333,1.2666666666666666,3.2666666666666666,6.4
1640669367,0,0,0,0,6.331644894694748,3.3333333333333335,4.4,0.5333333333333333
1640669382,0,0,0,0,14.737263270205387,0.5333333333333333,2.2666666666666666,1.8666666666666667
1640669397,0,0,0,0,6.4,1.8,2,0.8666666666666667
1640669412,0,0,0,0,12.933333333333334,1.5333333333333334,4.2660978536195175,1.6
1640669427,0,0,0,0,6.065857885615251,0.5333333333333333,12.265848943403773,1.5333333333333334
1640669442,0,0,0,0,12.06827577010268,6.733333333333333,0.46676001867040073,15.2
1640669457,0,0,0,0,5.733333333333333,1.5333333333333334,4,2.1333333333333333
1640669472,0,0,0,0,5.933333333333334,1.3333333333333333,4.666666666666667,3.933333333333333
1640669487,0,0,0,0,12.066666666666666,5.2,1.8,0.5333333333333333
1640669502,0,0,0,0,5.133333333333334,0.5333333333333333,0.8662624108749251,2.933333333333333
1640669517,0,0,0,0,13.133333333333333,1.9329467439845365,5.135730007336757,3.2
1640669532,0,0,0,0,3,1.2669200506768021,5,2.933333333333333
1640669547,0,0,0,0,6.866666666666666,2.8666666666666667,7.332355685908545,2.8662844954006133
1640669562,0,0,0,0,13.066666666666666,0.5333333333333333,0.4667288971862915,2.800373383117749
1640669577,0,0,0,0,8.133333333333333,6.466666666666667,2.6666666666666665,1.1998400213304892
1640669592,0,0,0,0,11.666666666666666,6.266666666666667,5.266666666666667,4.200560074676623
1640669607,0,0,0,0,6,0.4666666666666667,0.4665733519962674,1.7955709250515395
1640669622,0,0,0,0,12.266666666666667,0.6666666666666666,4.8663422438504105,4.611374724319989
1640669637,0,0,0,0,7.666666666666667,2.8,1.8004801280341425,0.4666666666666667
1640669652,0,0,0,0,12.266666666666667,1.5333333333333334,1.7333333333333334,2.466666666666667
1640669667,0,0,0,0,6.2,4.4,5.866666666666666,0.5333333333333333
1640669682,0,0,0,0,14.266666666666667,0.5998000666444518,0.4666666666666667,6.2
1640669697,0,0,0,0,4.933333333333334,1.800600200066689,3,0.4666666666666667
1640669712,0,0,0,0,14.4,2.2666666666666666,1.5333333333333334,2.066666666666667
1640669727,0,0,0,0,4.6,4.933333333333334,0.7333333333333333,15.2
1640669742,0,0,0,0,5.066666666666666,1.4666666666666666,1.8,1.8666666666666667
1640669757,0,0,0,0,14.6,1.7333333333333334,12.266666666666667,0.4666666666666667
1640669772,0,0,0,0,3.2666666666666666,4.733333333333333,3,2.533333333333333
1640669787,0,0,0,0,6.666666666666667,0.4666666666666667,0.4666666666666667,5.532226887955742
1640669802,0,0,0,0,13,3.533333333333333,4.2,1.733217785480968
1640669817,0,0,0,0,6.6,1.599786695107319,1.9328179152226073,0.6668444918644971
1640669832,0,0,0,0,12.8,1.8002400320042673,1.7337956788476927,6.39786737754082
