timestamp,sr0:172.17.16.11:9100,sr0:172.17.16.13:9100,sr0:172.17.16.14:9100,sr0:172.17.16.15:9100,vda:172.17.16.11:9100,vda:172.17.16.13:9100,vda:172.17.16.14:9100,vda:172.17.16.15:9100
1640667492,0,0,0,0,8171520,2548542.6626469432,3264668.811146852,2824307.612536203
1640667507,0,0,0,0,7271340.562962963,3550139.7333333334,3233123.8920359877,3378107.7333333334
1640667522,0,0,0,0,469674.6666666667,43133.03119168222,1104103.5011670557,73181.86666666667
1640667537,0,0,0,0,258867.2,56266.737796745794,66355.2,6007.466666666666
1640667552,0,0,0,0,180770.13333333333,11741.866666666667,18295.466666666667,22664.533333333333
1640667567,0,0,0,0,72089.6,16110.933333333332,15291.733333333334,21299.2
1640667582,0,0,0,0,93115.73333333334,20753.066666666666,5734.4,28672
1640667597,0,0,0,0,51602.71963738168,2678510.933333333,1928942.9333333333,3486515.2
1640667612,0,0,0,0,107056.40752100281,2757054.3152282573,4847797.46835443,971756.4939389903
1640667627,0,0,0,0,12642167.466666667,38788.396132044014,25412.14142761841,11750.483688037893
1640667642,0,0,0,0,68539.73333333334,7099.733333333334,81357.59514763714,83848.23631392945
1640667657,0,0,0,0,398131.2,17476.266666666666,16660.39874641595,13380.266666666666
1640667672,0,0,0,0,69358.93333333333,13922.687283391097,25941.333333333332,11741.866666666667
1640667687,0,0,0,0,80554.66666666667,17480.928247532676,8465.066666666668,12834.133333333333
1640667702,0,0,0,0,66073.32355685908,38775.46666666667,38775.46666666667,28945.066666666666
1640667717,0,0,0,0,82477.13028403788,19387.733333333334,18568.533333333333,10376.533333333333
1640667732,0,0,0,0,58709.333333333336,14472.533333333333,15564.8,21845.333333333332
1640667747,0,0,0,0,81920,6826.666666666667,11453.52862849534,12288
1640667762,0,0,0,0,24849.066666666666,30037.333333333332,7109.2122830440585,16657.066666666666
1640667777,0,0,0,0,135168,21026.133333333335,36590.933333333334,7372.8
1640667792,0,0,0,0,35225.6,19110.844497767113,18015.193922431026,16384
1640667807,0,0,0,0,111957.33333333333,15021.67100086684,12566.09310390823,8738.133333333333
1640667822,0,0,0,0,33041.066666666666,29218.133333333335,6551.416194601799,34406.4
1640667837,0,0,0,0,126156.8,27579.733333333334,29774.191397132377,6007.466666666666
1640667852,0,0,0,0,29218.133333333335,32221.866666666665,13653.333333333334,21845.333333333332
1640667867,0,0,0,0,156740.26666666666,6826.666666666667,6007.466666666666,8192
1640667882,0,0,0,0,28945.066666666666,40413.86666666667,17203.2,30037.333333333332
1640667897,0,0,0,0,86016,15018.666666666666,24302.933333333334,5188.266666666666
1640667912,0,0,0,0,70724.26666666666,34401.813091587785,26209.158168366328,24576
1640667927,0,0,0,0,75912.53333333334,23759.967995732764,86579.44922317797,10376.533333333333
1640667942,0,0,0,0,78916.26666666666,4642.133333333333,88473.6,92569.6
1640667957,0,0,0,0,31675.733333333334,21299.2,19114.666666666668,13653.333333333334
1640667972,0,0,0,0,134075.73333333334,8465.066666666668,27555.851595284086,9011.2
1640667987,0,0,0,0,28672,23483.733333333334,22410.88943751251,32458.14743290937
1640668002,0,0,0,0,114961.06666666667,4096,8736.386056122108,16129.21310818928
1640668017,0,0,0,0,40413.86666666667,46694.4,40421.951056878046,4369.066666666667
1640668032,0,0,0,0,113322.66666666667,8738.133333333333,15291.733333333334,26760.533333333333
1640668047,0,0,0,0,30310.4,22118.4,13380.266666666666,9830.4
1640668062,0,0,0,0,104857.6,14745.6,8461.681993869119,74820.26666666666
