timestamp,number_db_next,number_db_next_found,number_db_prev,number_db_prev_found,number_db_seek,number_db_seek_found
1640667507,0,0,0,0,3759.6972377777774,0
1640667522,14.166423189787348,14.079553585316535,0,0,4534.612863795672,188.05864762393614
1640667537,13.024284444444445,12.848105925925926,0,0,4930.252795555555,630.3615222222222
1640667552,26.40209962962963,26.008150740740742,0,0,2901.2666666666664,1518.253912222222
1640667567,14.825920397762534,14.409402373027278,0,0,2315.35573037814,1954.5296756863431
1640667582,14.86974851851852,14.408787037037035,0,0,2773.511111111111,2831.5675840740746
1640667597,1785.4062933333335,1784.4726155555552,0,0,2220.644444444444,2193.111111111111
1640667612,1971.3410578654107,1969.9360477406265,0,0,2483.621146929516,2683.577006608261
1640667627,1986.0598800035555,1984.4949392624196,0,0,2028.9554429704685,1764.7333096312097
1640667642,253.23424125087178,252.21214148163384,0,0,2570.191033277386,2464.138298585111
1640667657,14.98116823618613,14.55894058053697,0,0,2320.7565172721233,1984.68957893411
1640667672,14.333312593514362,13.888886913668033,0,0,2890.249602737986,2897.3158625075102
1640667687,14.223502338117578,13.89012554228692,0,0,2318.908912283875,2308.529853352012
1640667702,42.044444444444444,41.577777777777776,0,0,2890.355555555555,2877.8666666666663
1640667717,28.044458272219508,27.688888888888886,0,0,2321.9696579107217,2310.747004064378
1640667732,42.129635884217706,41.618530698505815,0,0,2896.577347198767,2896.755205957001
1640667747,14.311111111111112,13.933333333333332,0,0,2323.644444444444,2315.2888888888892
1640667762,28.22222222222222,27.777777777777775,0,0,2898.444444444444,2899.2
1640667777,14.156788257721674,13.845675171126322,0,0,2329.089238549599,2320.289129897966
1640667792,28.11111111111111,27.688888888888886,0,0,2909.2888888888883,2917.5333333333333
1640667807,14.222222222222223,13.844444444444443,0,0,2333.422222222222,2324.3555555555554
1640667822,14.511111111111111,14.02222222222222,0,0,2892.3111111111107,2914.1111111111113
1640667837,14.444444444444445,14.02222222222222,0,0,2295.444444444444,2298.9333333333334
1640667852,28.555555555555557,28.04444444444444,0,0,2873.622222222222,2876.0666666666666
1640667867,28.26666666666667,27.866666666666664,0,0,2301.822222222222,2288.7777777777774
1640667882,28.309878573297976,27.865436104074387,0,0,2912.7109066757525,2886.955388649393
1640667897,14.421605953315654,14.066051385370526,0,0,2314.35538173612,2325.1332138324715
1640667912,28.355555555555558,27.911111111111108,0,0,2905.933333333333,2895.7111111111108
1640667927,14.422838545910682,14.067282002656908,0,0,2292.8446192670285,2318.489025191243
1640667942,14.245027190870637,13.845059780434687,0,0,2894.054529501313,2872.0785323006035
1640667957,0.5999733345184659,0.2666548153415404,0,0,2305.1644233095817,2305.8976401048844
1640667972,14.577777777777778,14.11111111111111,0,0,2884.977777777777,2887.3555555555554
1640667987,28.355610869114294,27.95557926136644,0,0,2287.7584970515895,2312.7608676326786
1640668002,41.9777945686475,41.53333333333333,0,0,2849.526415495009,2870.7052076388577
1640668017,28.355527902463596,27.999986173454015,0,0,2285.6541793204256,2289.58726180071
1640668032,28.4425956788066,27.9981541971276,0,0,2846.599675577183,2865.577525942715
1640668047,14.511111111111111,14.155555555555555,0,0,2284.5999664212454,2286.1555555555556
1640668062,28.11112790198083,27.688888888888886,0,0,2850.015326113259,2841.1261043700706
1640668077,14.623146728300405,14.245367468942375,0,0,2295.444746686816,2269.777957048988
1640668092,28.97773580702309,28.377763952965612,0,0,2854.5879474751073,2843.6551296586813
1640668107,15.022170373826928,14.533306668444325,0,0,2284.1592160522637,2286.381130146879
1640668122,28.51111111111111,27.977777777777774,0,0,2852.5333333333333,2850.4888888888886
1640668137,14.600048892148365,14.244471112889006,0,0,2294.37486350942,2283.663165692528
1640668152,28.53338667022246,28.08891555733345,0,0,2868.146399389589,2856.767987495463
1640668167,14.6,14.244444444444444,0,0,2278.711111111111,2292.5555555555557
1640668182,14.222222222222223,13.844444444444443,0,0,2853.555555555555,2849.7777777777774
1640668197,0.3110834592480669,0,0,0,2270.243087528023,2268.13198826771
1640668212,14.733333333333334,14.288888888888888,0,0,2865.577777777778,2856.644444444444
1640668227,28.53324445431989,28.13328395610364,0,0,2275.058870002099,2299.5670678566576
1640668242,28.576620308365783,28.132142280425867,0,0,2867.6097895394146,2856.4311820524613
1640668257,28.533333333333335,28.177777777777774,0,0,2279.755555555555,2275.244444444444
1640668272,28.644545690261882,28.177832104801766,0,0,2877.6302453359012,2855.4057389092613
1640668287,28.578972895958465,28.178986722328865,0,0,2277.054736348245,2294.431625272952
1640668302,14.244444444444445,13.844444444444443,0,0,2860.2888888888883,2849.822222222222
1640668317,14.155555555555557,13.844444444444443,0,0,2278.933333333333,2274.2444444444445
1640668332,28.68886765479286,28.222210370633736,0,0,2870.780769810053,2862.469802893269
1640668347,28.622222222222224,28.22222222222222,0,0,2293.0444444444443,2301.9333333333334
1640668362,28.666583711077536,28.222174819028428,0,0,2862.679333195074,2860.52384281891
1640668377,14.155574816098852,13.844444444444443,0,0,2282.574067900823,2274.262530094599
1640668392,14.911111111111111,14.466666666666665,0,0,2852.6666666666665,2846.4
